station_no,location,road_link,year_start,year_end,aadt_pcu_start,aadt_pcu_end,cagr,years_used,years_flagged
53,Dhulikhel East,H0310,2011/12,2024/25,4305,10177,0.06842009474101918,10,0
54,Dhulikhel South,H0610,2011/12,2024/25,1686,6653,0.11136945888707661,10,0
55,Banepa South,F02901,2015/16,2024/25,3820,13781,0.153222324660667,7,3
58,Satdobato South (Chapagaun),F02301,2012/13,2024/25,16313,27821,0.045490060532725085,9,1
59,Satdobato Junction South,F02401,2011/12,2024/25,19075,42779,0.06409892949541973,10,0
60,Ring Road (Manohara Bridge),H1614,2011/12,2024/25,39432,44308,0.009008610720301125,10,0
61,Ring Road (Balkhu East),H1611,2011/12,2024/25,46786,42638,-0.0071159560937072985,10,0
62,Kharipati,F02801,2011/12,2024/25,5272,9076,0.0426717859738972,10,0
63,Hanumante Bridge,H0305,2011/12,2024/25,14248,29843,0.05852012877245083,10,0
64,Manohara Bridge,H0303,2011/12,2024/25,39004,75453,0.052067593558260405,10,0
65,Ring Road (Sinamangal),H1602,2011/12,2024/25,31979,49091,0.033518442528496895,10,0
66,Chabahil East,F02602,2011/12,2024/25,14826,34510,0.0671480853112274,10,0
67,Jorpati North,F02701,2011/12,2024/25,7158,17807,0.07262047263999527,10,0
68,Ring Road (Narayan Gopal Chowk),H1606,2011/12,2024/25,36402,53170,0.029572732152012948,10,0
69,Gangalal Hospital North,F02502,2011/12,2024/25,17550,29328,0.040289597928595766,10,0
70,Balaju Bypass North,F02103,2016/17,2024/25,6006,4798,-0.027679674319283087,6,4
71,Ring Road (Banasthali),H1608,2011/12,2024/25,25841,48980,0.05041826916687464,10,0
72,T.U. Gate,F02201,2011/12,2024/25,17914,19689,0.0072939781106748924,10,0
73,Taudaha,F02202,2014/15,2024/25,5142,10684,0.07587094896481572,8,2
74,Nagdhunga,H0214,2011/12,2024/25,20497,16377,-0.017113458695562023,10,0
78,Naubise West (TRP),H0212,2016/17,2024/25,1656,811,-0.08537079392792124,6,4
150,Bidur North,F02108,2011/12,2024/25,1906,6423,0.09795811065547544,10,0
154,Narayan Gopal Chowk West,H1607,2011/12,2024/25,33704,47894,0.027397336925007565,10,0
155,Narayan Gopal Chowk South,F02501,2011/12,2024/25,22297,36184,0.037945681303482415,10,0
156,Sitapaila South,F07501,2020/21,2024/25,7785,14115,0.16039424540472758,4,6
157,Kalanki,H1610,2011/12,2024/25,31293,53030,0.04140848008106679,10,0
158,Gwarko East,F07201,2011/12,2024/25,12620,35021,0.08167708608777002,10,0
159,Byasi Chowk North,F09401,2015/16,2024/25,4526,5610,0.024143760663074998,7,3
160,Satdobato North,H1613,2011/12,2024/25,30077,48833,0.037984059004971815,10,0
