station_no, road_link, location                       , aadt  , aadt_excl_mc_rickshaw, aadt_pcu, aadt_pcu_excl_mc_rickshaw, fiscal_year, hourly_detail_url
        58, F02301   , Satdobato South (Chapagaun)    ,   5275,                  1765,     4348,                      2593, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/58
        58, F02301   , Satdobato South (Chapagaun)    ,  20735,                  7202,    16313,                      9543, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/218
        58, F02301   , Satdobato South (Chapagaun)    ,  13598,                  4484,     9981,                      5406, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/378
        58, F02301   , Satdobato South (Chapagaun)    ,  21698,                  6498,    16083,                      7819, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/538
        58, F02301   , Satdobato South (Chapagaun)    ,  11404,                  4209,     9583,                      5960, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/698
        58, F02301   , Satdobato South (Chapagaun)    ,  26387,                  9398,    20333,                     11489, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/858
        58, F02301   , Satdobato South (Chapagaun)    ,  29898,                  8034,    20718,                      9777, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1018
        58, F02301   , Satdobato South (Chapagaun)    ,  27099,                  7315,    18562,                      8665, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1178
        58, F02301   , Satdobato South (Chapagaun)    ,  29443,                  7372,    19318,                      8270, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1338
        58, F02301   , Satdobato South (Chapagaun)    ,  39194,                 11117,    27821,                     13778, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato South -2Chapagaun-1/1575
        59, F02401   , Satdobato Junction South       ,  21156,                  9371,    19075,                     13106, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato Junction South/59
