scenario,run_id,d_i_s_per_veh_Koteshwor,d_i_s_per_veh_Tinkune South,d_i_s_per_veh_Tinkune West,d_i_s_per_veh_Tinkune North,d_i_s_per_veh_New Baneshwor,d_i_s_per_veh_Maitighar,d_i_s_per_veh_Thapathali,d_i_s_per_veh_Tripureshwor,d_i_s_per_veh_Kalimati,d_i_s_per_veh_Shahid Gate,d_i_s_per_veh_Jadhibuti,T_c_min_eastbound_Tripureshwor_to_Jadhibuti,T_c_min_westbound_Jadhibuti_to_Tripureshwor,T_c_min_route_edges_east,T_c_min_route_edges_west,H_cordon_pcu_0811,t_diss_prepeak_ref_m,D_net_veh_h,scale,p_r,seed,sch,pt,dt,m,delta_pct_d_i_s_per_veh_Koteshwor,delta_pct_d_i_s_per_veh_Tinkune South,delta_pct_d_i_s_per_veh_Tinkune West,delta_pct_d_i_s_per_veh_Tinkune North,delta_pct_d_i_s_per_veh_New Baneshwor,delta_pct_d_i_s_per_veh_Maitighar,delta_pct_d_i_s_per_veh_Thapathali,delta_pct_d_i_s_per_veh_Tripureshwor,delta_pct_d_i_s_per_veh_Kalimati,delta_pct_d_i_s_per_veh_Shahid Gate,delta_pct_d_i_s_per_veh_Jadhibuti,delta_pct_T_c_min_eastbound_Tripureshwor_to_Jadhibuti,delta_pct_T_c_min_westbound_Jadhibuti_to_Tripureshwor,delta_pct_T_c_min_route_edges_east,delta_pct_T_c_min_route_edges_west,delta_pct_H_cordon_pcu_0811,delta_pct_D_net_veh_h,delta_pct_scale
baseline,baseline,3.5,0.4,0.1,0.4,5.6,106.2,21.7,12.9,7.3,32.7,0.2,8.2,5.6,94,88,214818.0,0.0,7577.0,0.55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s0-spatial-control,p_r0.05_seed101,3.5,0.4,0.1,0.2,2.1,91.6,14.0,6.5,1.5,23.4,0.2,6.8,5.6,94,88,223314.0,0.0,5892.0,0.55,0.05,101.0,,,,,0.0,0.0,0.0,-50.0,-62.5,-13.74764595103579,-35.48387096774193,-49.6124031007752,-79.45205479452055,-28.440366972477076,0.0,-17.073170731707314,0.0,0.0,0.0,3.954975840013407,-22.238352910122742,0.0
s0-spatial-control,p_r0.05_seed108,3.5,0.4,0.1,0.2,0.4,104.2,32.1,13.0,6.9,16.5,0.2,8.1,6.6,94,88,223642.0,0.0,6046.0,0.55,0.05,108.0,,,,,0.0,0.0,0.0,-50.0,-92.85714285714285,-1.8832391713747645,47.926267281106,0.7751937984496096,-5.479452054794513,-49.54128440366973,0.0,-1.219512195121947,17.857142857142858,0.0,0.0,4.107663231200364,-20.205886234657516,0.0
s0-spatial-control,p_r0.05_seed115,3.4,0.4,0.1,0.3,3.8,97.3,20.6,16.5,4.8,23.1,0.2,7.9,5.5,94,88,220168.0,0.0,6321.0,0.55,0.05,115.0,,,,,-2.85714285714286,0.0,0.0,-25.000000000000007,-32.14285714285714,-8.380414312617708,-5.069124423963125,27.90697674418604,-34.24657534246575,-29.357798165137616,0.0,-3.658536585365841,-1.7857142857142794,0.0,0.0,2.4904803135677644,-16.576481457041044,0.0
s0-spatial-control,p_r0.05_seed122,3.4,0.4,0.1,0.4,2.5,90.6,16.9,11.6,4.1,19.5,0.2,7.4,5.0,94,88,225664.0,0.0,5365.0,0.55,0.05,122.0,,,,,-2.85714285714286,0.0,0.0,0.0,-55.35714285714285,-14.689265536723173,-22.11981566820277,-10.077519379844967,-43.83561643835617,-40.36697247706423,0.0,-9.756097560975597,-10.714285714285708,0.0,0.0,5.048925136627284,-29.193612247591393,0.0
s0-spatial-control,p_r0.05_seed129,3.5,0.4,0.1,0.3,0.2,89.4,22.1,12.0,4.0,23.2,0.2,7.7,5.4,94,88,222567.0,0.0,6064.0,0.55,0.05,129.0,,,,,0.0,0.0,0.0,-25.000000000000007,-96.42857142857143,-15.819209039548019,1.8433179723502402,-6.976744186046514,-45.20547945205479,-29.05198776758411,0.0,-6.0975609756097455,-3.5714285714285587,0.0,0.0,3.6072396167918885,-19.968325194668076,0.0
s0-spatial-control,p_r0.05_seed136,3.5,0.4,0.1,0.3,5.8,109.2,30.1,17.3,7.0,12.7,0.2,8.4,6.0,94,88,220509.0,0.0,6633.0,0.55,0.05,136.0,,,,,0.0,0.0,0.0,-25.000000000000007,3.5714285714285747,2.824858757062147,38.70967741935485,34.10852713178294,-4.109589041095888,-61.16207951070337,0.0,2.4390243902439157,7.1428571428571495,0.0,0.0,2.649219339161523,-12.458756763890722,0.0
s0-spatial-control,p_r0.05_seed143,3.4,0.4,0.1,0.3,4.6,96.4,16.7,13.4,3.1,20.5,0.2,7.3,5.5,94,88,222865.0,0.0,5811.0,0.55,0.05,143.0,,,,,-2.85714285714286,0.0,0.0,-25.000000000000007,-17.857142857142858,-9.227871939736344,-23.04147465437788,3.875968992248062,-57.534246575342465,-37.308868501529055,0.0,-10.975609756097555,-1.7857142857142794,0.0,0.0,3.745961697809309,-23.30737759007523,0.0
s0-spatial-control,p_r0.05_seed150,3.5,0.4,0.1,0.3,2.0,75.2,13.7,9.1,1.6,19.3,0.2,7.1,5.4,94,88,227452.0,0.0,5105.0,0.55,0.05,150.0,,,,,0.0,0.0,0.0,-25.000000000000007,-64.28571428571428,-29.19020715630885,-36.86635944700461,-29.457364341085274,-78.0821917808219,-40.97859327217125,0.0,-13.414634146341461,-3.5714285714285587,0.0,0.0,5.881257622731801,-32.62504949188333,0.0
s0-spatial-control,p_r0.05_seed157,3.5,0.7,0.6,0.3,26.9,138.1,32.2,17.0,7.9,13.0,0.2,8.7,6.2,94,88,207832.0,0.0,8054.0,0.55,0.05,157.0,,,,,0.0,74.99999999999997,500.0,-25.000000000000007,380.35714285714283,30.037664783427488,48.387096774193566,31.782945736434105,8.219178082191789,-60.24464831804281,0.0,6.097560975609757,10.714285714285724,0.0,0.0,-3.252055228146617,6.295367559720205,0.0
s0-spatial-control,p_r0.05_seed164,3.4,0.4,0.1,0.3,0.1,107.9,30.2,15.4,6.0,17.9,0.2,8.2,6.7,94,88,224897.0,0.0,6139.0,0.55,0.05,164.0,,,,,-2.85714285714286,0.0,0.0,-25.000000000000007,-98.21428571428572,1.6007532956685524,39.1705069124424,19.37984496124031,-17.80821917808219,-45.2599388379205,0.0,0.0,19.642857142857153,0.0,0.0,4.691878706626074,-18.978487528045402,0.0
s0-spatial-control,p_r0.05_seed171,3.5,0.4,0.1,0.3,0.2,103.7,18.1,32.2,6.6,20.0,0.2,9.0,5.6,94,88,223348.0,0.0,5914.0,0.55,0.05,171.0,,,,,0.0,0.0,0.0,-25.000000000000007,-96.42857142857143,-2.354048964218456,-16.589861751152064,149.61240310077523,-9.589041095890414,-38.83792048929664,0.0,9.75609756097562,0.0,0.0,0.0,3.970803191538884,-21.948000527913422,0.0
